Name,Gold_Medals,Silver_Medals,Bronze_Medals
Viktor Frantsevich Zhdanovich,3,0,0
Zhou Yang,3,0,0
Ulrich Wehling,3,0,0
Hermann Otto Ludwig Weingrtner,3,2,1
Jens Weiflog,3,1,0
Carl Oscar Westergren,3,0,0
"Malvin Groston ""Mal"" Whitfield",3,1,1
"Katarina ""Kati"" Wilhelm",3,3,1
Frank Clifford Wykoff,3,0,0
Xiong Ni,3,1,1
Wyomia Tyus (-Simburg),3,1,0
Kohei Uchimura,3,4,0
Vegard Ulvang,3,2,1
Yelena Valeryevna Vlbe (Trubitsyna-),3,0,4
Pieter Cornelis Martijn van den Hoogenband,3,2,2
Adolf Dirk Coenraad van der Voort van Zijp,3,0,0
Yvonne Maria Therse van Gennip,3,0,0
"Theodora Elisabeth Gerarda ""Anky"" van Grunsven",3,5,1
Edmond Van Moer,3,0,0
Francesco Verri,3,0,0
Zoltn Imre dn von Halmay,3,5,1
"Susan Christina ""Chris"" von Saltza (-Olmstead)",3,1,0
"Michael Allen ""Mike"" Wall",3,0,0
Kerri Lee Walsh Jennings,3,0,1
Wang Hao,3,3,0
Jeremy Matthew Wariner,3,1,0
"Lillian Debra ""Pokey"" Watson (-Richardson)",3,0,0
"Harry Livingston Hillman, Jr.",3,1,0
Pavol Hochschorner,3,0,1
Peter Hochschorner,3,0,1
Maria Hfl-Riesch,3,1,0
Nancy Lynn Hogshead (-Makar),3,1,0
Knut Holmann,3,2,1
Katinka Hossz,3,1,0
"Lemuel Clarence ""Bud"" Houser",3,0,0
"Matilda ""Lida"" Howell (Scott-)",3,0,0
Andrew James Hoy,3,1,0
Veikko Aarne Aleks Huhtanen,3,1,1
Felix Loch,3,0,0
"Eleanor ""Elle"" Logan",3,0,0
Mijan Lpez Nez,3,0,0
Alejandrina Mireya Luis Hernndez,3,0,0
Ma Lin,3,0,0
Ma Long,3,0,0
Christopher Paul MacDonald,3,1,1
Helene Emma Madison,3,0,0
Tianna Madison-Bartoletta,3,0,0
Sergey Vladimirovich Kharkov,3,0,0
Elvira Ramilevna Khasyanova,3,0,0
Andrey Valentinovich Khomutov,3,0,0
Lyudmila Iosifovna Khvedosyuk-Pinayeva,3,0,1
Ki Bo-Bae,3,0,1
Jean-Claude Killy,3,0,0
Kim Gi-Hun,3,0,0
"Charles Frederick ""Karch"" Kiraly",3,0,0
Mark Kirchner,3,1,0
Marja-Liisa Kirvesniemi-Hmlinen,3,0,4
Mariya Aleksandrovna Kiselyova,3,0,0
"Gergely ""Gerg"" Kiss",3,0,0
Vyacheslav Nikolayevich Ivanov,3,0,0
"Joseph ""Joe"" Jackson",3,0,0
John Arthur Jarvis,3,1,2
Jin Seon-Yu,3,0,0
