Name,Gold_Medals,Silver_Medals,Bronze_Medals
Doru Spnu,0,0,0
Peter Charles Francis Spir,0,0,0
"Matthew Thomas ""Matt"" Spiranovic",0,0,0
Nicolae Sprcu,0,0,0
Roman pirelja,0,0,0
Emilia Maria Spirescu,0,0,0
Igor piri,0,0,0
Aleksey Sergeyevich Spiridonov,0,1,0
"Evgenij ""Eugen"" Spiridonov",0,0,0
Leonid Nikolayevich Spiridonov,0,0,0
Yevgeny Vasilyevich Spiridonov,0,0,0
Darya Sergeyevna Spiridonova,0,1,0
Carlo Maria Spirito,0,0,0
Svitlana Anatolivna Spiriukhova,0,0,0
Dumitru Sprlea,0,0,0
Irina Sprlea (-Pace),0,0,0
Toni Spi,0,0,1
Jnos Spisk,0,0,0
Pawe Tadeusz Spisak,0,0,0
"Joseph Christopher ""Joe"" Spiteri",0,0,0
"Suzanne ""Sue"" Spiteri",0,0,0
Frans Gerhard Spits,0,0,0
"Nicolaas Bernard ""Nico"" Spits",0,0,0
Valery Anatolyevich Spitsyn,0,0,0
Marko Spittka,0,0,1
Kerstin Spittler,0,0,0
Elisa Hope Spitz (-Iuliano),0,0,0
"George Burton Spitz, Jr.",0,0,0
Hanneliese Spitz,0,0,0
"Johann ""Hans"" Spitzauer (-Mag)",0,0,0
Roland Adelbert Spitzer,0,0,0
"Theresa Hope Spivey (-Sheeley, -Coburn)",0,0,0
"James Calvin ""Jim"" Spivey",0,0,0
Olga plchalov,0,0,0
Bruno Splieth,0,0,0
Tiago Splitter Beims,0,0,0
Gemma Mary Spofforth,0,0,0
Patricia C. Spohn,0,0,0
Marian Spojda,0,0,0
Mindaugas pokas,0,0,0
Paul Nikola Spoljaric,0,0,0
Antonn ponar,0,0,0
Valentina Spongia,0,0,0
Christine Sponring,0,0,0
Roberto Sponza,0,0,0
"Edwin Clifford ""Cliff"" Spooner",0,0,0
Hugh Spooner,0,0,0
Mark Spooner,0,0,0
Jacob Spoonley,0,0,0
Zeki Rza Sporel,0,0,0
Erich Sprer,0,0,0
Andrej porn,0,0,0
Rachael Pamela Sporn,0,2,1
"Stanislav ""Stane"" porn",0,0,0
ngel Edmundo Sposato,0,0,0
Grzegorz Sposb,0,0,0
John Spotswood,0,0,0
Spotted Tail,0,0,1
Luigi Spozio,0,0,0
Artur Tomasz Spoowicz,0,0,0
Abraham Sprachman,0,0,0
"Benjamin ""Ben"" Spradley",0,1,0
Patricia Maria Spratlen (-Etem),0,0,0
Amanda Spratt,0,0,0
Stephen Spratt,0,0,0
Leston Sprauve,0,0,0
Andreas Sprecher,0,0,0
Claudio Sprecher,0,0,0
"Liliane Sprcher (Miannay-, -Lazare)",0,0,0
Pierre Sprcher,0,0,0
Karolina prem,0,0,0
Christian David Sprenger,0,2,1
Claudia Sprenger,0,0,0
Harry Osmond Sprenger,0,0,0
Nicholas Sprenger,0,1,0
Juliane Sprenger-Afflerbach,0,0,0
Simon David Spriggs,0,0,0
Carl Sprinchorn,0,0,0
Anita Spring-Palm,0,0,0
"Christopher ""Chris"" Spring",0,0,0
"Donald ""Don"" Spring",0,0,0
Justin Edward Spring,0,0,1
"Michael ""Mike"" Spring",0,0,0
Rolf Spring,0,1,0
Werner Spring,0,0,0
Thomas Springel,0,1,0
Carl Francis Springer,0,0,0
Caspar Springer,0,0,0
"Gerhard ""Gerdi"" Springer",0,0,0
Gregory Thomas Springer,0,1,0
"Rosemarie Alwine Anneliese Springer (Lorenz-, Alsen-)",0,0,0
Siegfried Springer,0,0,0
Thomas Springer,0,0,0
Sasha Springer-Jones,0,0,0
Frank Walter Springfield,0,0,0
Jorge Springmhl,0,0,0
Udo Springsklee,0,0,0
Maria Springwald,0,0,1
Annika Sprink,0,0,1
Gundega Sproe,0,0,0
"Teunis ""Teun"" Sprong",0,0,0
Norbert Sprongl,0,0,0
Albert Bryan Sprott,0,0,0
Daniel Sproule,0,0,2
Benton Murdoch Spruance,0,0,0
Zbigniew Spruch,0,0,0
Jnis Sprukts,0,0,0
Ellen Sprunger,0,0,0
Janika Sprunger,0,0,0
Julien Sprunger,0,0,0
La Sprunger,0,0,0
Erwin Spuler,0,0,0
Patrizia Spuri (-Donato),0,0,0
Arthur Dudley Spurling,0,0,0
"Lonnie Vernon ""Lon"" Spurrier",0,0,0
Steven Spurrier,0,0,0
Werner Spycher,0,0,0
Bjrn Anker Spydevold,0,0,0
Georgios Spyridis,0,0,0
Angelos Spyropoulos,0,0,0
Khristos Spyrou,0,0,0
Loukas Spyrou,0,0,0
Panagiotis Spyrou,0,0,0
Spyros Spyrou,0,0,0
Guillermo Squella,0,0,0
Pablo Squella Serrano,0,0,0
Franco Squillari,0,0,0
Albert Squires,0,0,0
Peter John Squires,0,0,0
Gregor Sranjek,0,0,0
Raa Sraka,0,0,0
Jan rmek,0,0,0
Bohunka rmkov,0,0,0
Jana ramkov,0,0,0
Simeon M. Srandev,0,0,0
Iveta rankov (-Hritzov),0,1,0
Goran Srbinovski,0,0,0
Renata Srbov,0,0,0
Katarina Srebotnik,0,0,0
Henryk Antoni rednicki,0,0,0
Preeja Sreedharan,0,0,0
"Robert ""Bob"" Sreenan",0,0,0
Milan rejber,0,0,1
Obrad Sretenovi,0,0,0
Genrikh Genrikhovich Sretensky,0,0,0
Frantiek retr,0,0,0
Paradorn Srichaphan,0,0,0
Savitree Srichure,0,0,0
Tanya Sridama,0,0,0
Anup Sridhar,0,0,0
Saleerat Srimek,0,0,0
Montri Srinaka,0,0,0
Ratjai Sripet,0,0,0
Surapong Sripirom,0,0,0
Ta Sriratana,0,0,0
Salai Srisathorn,0,0,0
Somnuek Srisombat,0,0,0
Bantow Srisook,0,0,0
Boonthung Srisung,0,0,0
Pornpim Srisurat,0,0,0
Reawadee Srithoa (-Watanasin),0,0,0
Andriy Vasylovych Sriubko,0,0,0
Royengyot Srivorapongpant,0,0,0
Bartosz Sroga,0,0,0
Kristin Sroka,0,0,0
Rafa Andrzej Sroka,0,0,0
"Martin ""Tine"" rot",0,0,0
Josef roubek,0,0,1
Dbora Renata Srour,0,0,0
Mohamed Sayed Mohamed Srour,0,0,0
Mikls Srp,0,0,0
Lubomr Sre,0,0,0
Tom Sre,0,0,0
Zdenk Srstka,0,0,0
"Daniela Lucia ""Dani"" Sruoga",0,1,0
"Mara Josefina ""Jose"" Sruoga",0,1,0
Konrad Srzednicki,0,0,0
Sabah riti,0,0,1
Joseph Ssali,0,0,0
Charles Ssekyaaya,0,0,0
Andrea St Bernard,0,0,0
Fabienne Aline St Louis,0,0,0
Marianne St-Gelais,0,3,0
Stphanie St-Pierre,0,0,0
Jon James St. Andre,0,0,0
Khalifa St. Fort,0,0,0
Judi Anne St. Hilaire (-Coogan),0,0,0
Pierre St. Jean,0,0,0
"Wyndham ""Wyn"" St. John",0,0,0
Dominique Michel Gabriel St. Laurent,0,0,0
"Benjamin ""Ben"" St. Lawrence",0,0,0
Mary Abastenia St. Leger Eberle,0,0,0
Ali St. Louis,0,0,0
Dexter Benedict St. Louis,0,0,0
France St. Louis,0,1,0
Marie Michele St. Louis,0,0,0
Pierre St. Martin,0,0,0
Arthur Claude Champion St. Norman,0,0,0
Ryan St. Onge,0,0,0
Kennedy St. Pierre,0,0,0
Martin St. Pierre,0,0,0
Mourad Sta,0,0,0
Jan Egon Staaf,0,0,0
Jesper Mllegaard Staal,0,0,0
"Bernard ""Ben"" Staartjes",0,0,0
Alfred Heinrich Karl Richard Staats,0,0,0
Alfred Stabell,0,0,0
Lothar Stber,0,1,0
Federica Stabilini,0,0,0
Luise Stblein,0,0,0
Frank Stbler,0,0,0
Riccardo Stacchini,0,0,0
Raphal Stacchiotti,0,0,0
Giulia Staccioli,0,0,0
David Stacey,0,0,0
"Nicholas David ""Nick"" Stacey",0,0,0
Gabriela Stacherov,0,0,0
"Thomas ""Tom"" Stachewicz",0,0,0
Amber Val Stachowski,0,0,1
Elbieta Stachurska (-Woniak),0,0,0
Rajmund Leszek Stachurski,0,0,0
Witold Stachurski,0,0,0
"Carrol Michelle ""Chelle"" Stack",0,0,0
Frank Stack,0,0,1
James Langford Stack,0,0,0
Kelli Allison Stack,0,2,0
"William Joseph ""Willie"" Stack",0,0,0
Kirk Alexander Stackle,0,0,0
Amber Rose Kelsey Stackpole,0,0,0
Jay Jason Stacy,0,1,2
Timm Stade,0,0,0
George Henry Stadel,0,0,0
Robert Stadelmann,0,0,0
Rolf Stadelmann,0,0,0
Marina Glebowna Staden (Milowidowa-),0,0,0
"Ann-Marie Lillemor ""Mia"" Stadig (-Bredberg)",0,0,0
Johan Erik Stadigh,0,0,0
Achim Stadler,0,0,0
Andreas Stadler,0,1,0
Edmund Stadler,0,0,0
Georg Stadler,0,0,0
Joseph Francis Stadler,0,1,1
Ren Stadler,0,0,0
Wolf Stadler,0,0,0
Nina Stefanie Stadlinger,0,0,0
Alois Stadlober,0,0,0
Teresa Stadlober,0,0,0
Maria Helena Stadnicka,0,0,0
Alina V'iachelsavivna Stadnik (Makhynia-),0,0,0
Andriy Volodymyrovych Stadnik,0,1,0
Mariya Stadnik,0,2,1
Oleksandra Oleksandrivna Stadniuk (-Shyshliuk-),0,0,0
Ryszard Tadeusz Stadniuk,0,0,1
Karl-Heinz Stadtmller,0,0,0
Veselin Staevski,0,0,0
Gabriela Stafford,0,0,0
Kevyn Marie Stafford,0,0,0
Lancelot Henry Grahame Stafford,0,0,0
Margaret E. Stafford,0,0,0
Natalie Stafford,0,0,0
Lawrence Ray Stafford,0,0,0
Silas Newby Stafford,0,0,0
Alfred Stger,0,0,0
Stagliano,0,0,0
Deividas Stagninas,0,0,0
Zinaida Vladimirovna Stagurskaya,0,0,0
Christian Stahl,0,0,0
Cristina Stahl,0,0,0
Daniel Arvid Paavali Sthl,0,0,0
Kjell-Erik Bertil Sthl,0,0,0
Linda Stahl,0,0,1
Paul R. Stahl,0,0,0
Ecaterina Clara Stahl-Iencic,0,0,2
Nico Stahlberg,0,0,0
Reijo Einar Sthlberg,0,0,0
Andreas Sthle,0,1,1
R. Daniel Stahle,0,0,0
Gregor Sthli,0,0,2
Lars Pontus Sthlkloo,0,0,0
Martin Stahnke,0,0,1
Angela Stahnke-Hauck,0,0,0
Drago Staicu,0,0,0
Ion Staicu,0,0,0
Simona Staicu,0,0,0
Doina Sticulescu,0,1,0
Paul Staight,0,0,0
Gary Martin Staines,0,0,0
"Laura Catherine Staines (Terdoslavich-, -Giardino)",0,0,0
"Michael Laurence ""Mike"" Staines",0,1,0
Spyridon Stais,0,0,0
Em. Vasileios Stais,0,0,0
Egl Staiinait,0,0,0
"Nikola ""Niki"" Stajkovic",0,0,0
Serhiy Eduardovych Stakhovskiy,0,0,0
Eirini Stakhtiari,0,0,0
Michael Staksrud,0,0,0
Ivo takula,0,1,0
Lara Stalder,0,0,1
Paul Stalder,0,0,0
Roy Mason Staley,0,0,0
"Walter Goodwin Staley, Jr.",0,0,1
Jesper Stlheim,0,0,0
"Thomas Lee ""Tom"" Stalker",0,0,0
"Hyla Bristow ""Henry"" Stallard",0,0,1
"Thomas Alexander ""Tom"" Stallard",0,1,0
Sverre Stallvik,0,0,0
Andrzej Stalmach,0,0,0
Bart Stalmans,0,0,0
Juris tls,0,0,0
Sandra Stals,0,0,0
Jannicke Stlstrm,0,0,0
Danny Stam,0,0,0
Esther Stam,0,0,0
Hans Stam,0,0,1
Marieke Stam,0,0,0
Neil Joseph Stam,0,0,0
"Pieter Hendrik ""Piet"" Stam",0,0,0
Debby Stam-Pilon,0,0,0
Marian Stamate,0,0,0
Giannis Stamatiou,0,0,0
Mikhalis Stamatogiannis,0,0,0
Theodoros Stamatopoulos,0,0,0
Nikola Stamatov,0,0,0
Dimosthenis Stambolis,0,0,0
Vania Emilova Stambolova,0,0,0
Draga Stameji (-Pokovec),0,0,0
Stoyan Dimitrov Stamenov,0,0,0
Rositsa Shyanova Stamenova (-Khristova),0,0,0
Oskar Stamet,0,0,0
Hagen Stamm,0,0,1
Jacques Stamm,0,0,0
Marko Yannik Stamm,0,0,0
Oliver Stamm,0,0,0
Peter Stammbach,0,0,0
Dimitrios Stamou,0,0,0
G. Stamoulis,0,0,0
Plamen Stamov,0,0,0
Calvin Stamp,0,0,0
George Loraine Stampa,0,0,0
Giovanni Stampa,0,0,0
Martin Stamper,0,0,0
"Penelope Jane ""Penny"" Stamper-Davis",0,0,0
Wolfgang Stampfer,0,0,0
Carla Stampfli,0,0,0
"Nicholas ""Nick"" Stamulus",0,0,0
Ferenc Stmusz,0,0,0
Constantin Stan,0,0,0
Elena Stan,0,0,0
Marin Stan,0,0,0
Rastislav Staa,0,0,0
Jonathan Stanbury,0,0,0
Ioneia Stanca (Glc-),0,0,0
Nayden Stanchev,0,0,0
Todor Stanchev,0,0,0
Tsvetanka Dobreva Stancheva,0,0,0
Vasilka Peneva Stancheva,0,0,0
eslavs Staniks,0,0,0
Ion Cristian Stanciu,0,0,0
Jaroslav Stano,0,0,0
Przemysaw Staczyk,0,0,0
Tomasz Staczyk,0,0,0
Lopold Standaert,0,0,1
Franklin Standard Johnson,0,0,1
"James E. ""Jack"" Standen",0,0,0
Burry Willie Stander,0,0,0
"Robin ""Bob"" Standing",0,0,0
Susanne Chandler Standish-White,0,0,0
"Johann ""Hans"" Standl",0,0,0
Johann Standmann,0,0,0
Martin Standmann,0,0,0
Marian Standowicz,0,0,0
Frantiek Stank,0,0,0
Tom Stank,0,0,0
Willibald Stanek,0,0,0
Claudia Ioana Stnescu,0,0,0
Constantin Stnescu,0,0,0
George Robert Stnescu,0,0,0
Ivan Nikolov Stanev,0,0,0
Yevgeny Aleksandrovich Stanev,0,0,0
Madlena Ivanova Staneva,0,0,0
Tanya Dencheva Staneva,0,0,0
"Reginald Kenneth ""Ken"" Stanford",0,0,0
Non Rhiannydd Stanford,0,0,0
"Friedrich ""Fritz"" Stange",0,0,0
"Peter James ""Pete"" Stange",0,0,0
Gorazd tangelj,0,0,0
Ulrike Stanggassinger,0,0,0
Christoph Stangl,0,0,0
Hans Stangl,0,0,0
Karl Stangl,0,0,0
Robert Sedgewick Stangland,0,0,2
Richard Courtney Stanhope,0,1,0
Darko Stani,0,0,0
George Anthony Stanich,0,0,1
Ryszard Karol Staniek,0,1,0
Charles David Stanier,0,0,0
Rom D. Stanifer,0,0,0
David Staniforth,0,0,0
Eimantas Stanionis,0,0,0
Jelena Stanisavljevi,0,0,0
Boidar Stanii,0,1,0
Carole Stanisire,0,0,0
Petr Stanislav,0,0,0
Micha Tomasz Staniszewski,0,1,0
Danuta Stanisawska (-Dembna),0,0,0
Wodzimierz Stanisawski,0,0,0
Zdzisaw Staniul,0,0,0
Czesaw Stanjek,0,0,0
Robert Stanjek,0,0,0
"Joseph ""Joe"" Stankevicius",0,0,0
Brian Stankiewicz,0,0,0
Tomasz Stankiewicz,0,1,0
Irina Vasilyevna Stankina,0,0,0
Svitlana Oleksandrivna Stanko (Klymenko-),0,0,0
Georgi Stankov,0,0,1
"Branislav ""Branko"" Stankovi",0,2,0
Dragan Stankovi,0,0,0
Dragana Stankovi,0,0,1
Ivan Stankovi,0,0,0
Imre Stankovics (Sztankovics-),0,0,0
Vasyl Vasylovych Stankovych,0,2,0
Augusto Jos Stanley Netepczuk,0,0,0
Gaynor Clare Stanley (-Wills),0,0,0
Giles Canham Stanley,0,0,0
Ian Stanley,0,0,0
Jon C. Stanley,0,0,0
"Laurence ""Larry"" Stanley",0,0,0
Matthew Stanley,0,0,0
"Micheal Rowland ""Mike"" Stanley",0,0,0
Paul Stanley,0,0,0
Phoebe Stanley,0,0,0
Charles Joseph Stanmore,0,0,0
Ian Dexter Stannard,0,0,0
James Stannard,0,0,0
Stefan Stannarius,0,0,0
Shane Henry Stannett,0,0,0
Jelica Stanojevi,0,0,0
Vujadin Stanojkovi,0,0,0
Miroslav Stanovsk,0,0,0
Pavel Stanovsk,0,0,0
Olgierd Staski,0,0,0
Roman Stantien,0,0,0
Vojtech Stantien,0,0,0
Brian E. Stanton,0,0,0
Krishna Lee Stanton (-Wood),0,0,0
Nadine Marie Stanton,0,0,0
Nigel Stanton,0,0,0
James Ivor Stanton-French,0,0,0
Agnieszka Stanuch,0,0,0
Jerzy Zbigniew Stanuch,0,0,0
Milorad Stanulov,0,1,1
"Stanley Burton ""Stan"" Stanyar",0,0,1
Raivydas Stanys,0,0,0
Melitina Dmitriyevna Stanyuta,0,0,0
Phoebe Stanz,0,0,1
Stefania Stanzani,0,0,0
Charlotte Stapenhorst,0,0,1
George A. Stapf,0,0,0
Sally-Anne Martine Stapleford,0,0,0
Brook Staples,0,0,0
David Murray Staples,0,0,0
Annamarie Stapleton,0,0,0
"William Joseph ""Bill"" Stapleton",0,0,0
Ian Stapleton,0,0,0
Ivanas Stapoviius,0,0,0
Joseph Stappers,0,0,0
Akvil Stapuaityt,0,0,0
Potito Starace,0,0,0
Alfred Dodd Starbird,0,0,0
David Collin Starbrook,0,1,1
"Alicia Jo ""JoJo"" Starbuck (-Bradshaw, -Gertler)",0,0,0
Brandon Starc,0,0,0
Boo Starevi,0,0,0
Petra Starevi,0,0,0
Karl Constantin Starck,0,0,0
Ragnar Alexander Stare,0,1,0
Maciej Starga,0,0,0
Guy Starik,0,0,0
Konstantine Starikovitch,0,0,0
Brenda Starink,0,0,0
Andrs Stark,0,0,0
Barbara Lynn Stark (-Jordan),0,0,0
Christine Toews Stark,0,0,0
Christoph Stark,0,0,0
Ian David Stark,0,4,0
"James Primrose ""Jimmy"" Stark",0,0,0
John Stark,0,0,0
Karel tark,0,0,0
Kathleen Stark (-Kern),0,0,0
ubor tark,0,0,0
Siegfried Stark,0,0,0
Tibor Stark,0,0,0
Bernhard Starkbaum,0,0,0
Benjamin Starke,0,0,0
Ute Starke (-Kahlenberg),0,0,1
"Brendan Owen ""Bob"" Starkey",0,0,0
Franz Starkl,0,0,0
Anatoliy Yefremovych Starkov,0,0,0
Hannah Felicity Starling,0,0,0
Owen Peter C. Starling,0,0,0
Bohumil Starnovsk,0,1,0
Dmitry Andreyevich Starodubtsev,0,0,0
Agnieszka Staro-Nagay,0,0,0
Jaroslav Starosta,0,0,0
Tom Starosta,0,0,0
Mark Yuryevich Starostin,0,0,0
Darya Yuryevna Starostina,0,0,0
Adam Starostka,0,0,0
Milica Starovi,0,0,0
Sanja Starovi,0,0,0
Saa Starovi,0,0,0
Anastasiya Nikolayevna Starovoytova-Ivanova,0,0,0
ukasz Starowicz,0,0,0
Bridgette Starr,0,0,0
Dellys Starr (Franke-),0,0,0
Ralph Stewart Starr,0,0,0
"Hendrik Pieter ""Henk"" Starreveld",0,0,0
"Jn ""Jano"" Star",0,0,0
Edward C. Startin,0,0,0
Yevgeniya Aleksandrovna Startseva,0,0,0
Yury Vasilyevich Starunsky,0,1,1
Jaroslav Star,0,0,0
Marcin Micha Starzak,0,0,0
Wacaw Starzyski,0,0,0
Zdzisaw Starzyski,0,0,0
Andrey Leonidovich Stas,0,0,0
Sergey Leonidovich Stas,0,0,0
"Wilhelm ""Willi"" Stasch",0,0,0
Viktor Vladimirovich Staselovich,0,0,0
Nikolay Aleksandrovich Stasenko,0,0,0
Aleksandr Arkadyevich Stasevich,0,0,0
Stathis Stasi,0,0,0
Inga Stasiulionyt,0,0,0
Benjamin Stasiulis,0,0,0
Gintaras Stakeviius,0,0,0
Szymon Stakiewicz,0,0,0
Jana Staov,0,0,0
Raymond Ren Fritz Armand Marie Jules Stasse,0,0,0
Ryan Stassel,0,0,0
Bowen Dow Stassforth,0,1,0
Alexandre Stassievitch,0,0,0
Jarmila astn (Knigov-),0,0,0
Anton astn,0,0,0
Bohuslav astn,0,1,1
Jaroslav astn,0,0,0
Ji astn,0,0,0
Marin astn,0,0,0
Paul Stastny,0,1,0
Peter astn,0,0,0
Nataliya Viktorovna Stasyuk,0,0,1
Irina Stasyuk-Chernushenko,0,0,0
Anzhela Mikhaylovna Stasyulevich,0,0,0
Grayna Staszak-Makowska,0,0,0
Jan Staszel,0,0,0
Alfred Jerzy Staszewicz,0,0,0
Dorota Agnieszka Staszewska (-Kumiszcze),0,0,0
Ewelina Joanna Staszulonek,0,0,0
Frantiek Staten,0,0,0
"Antoni ""Toni"" Statelov",0,0,0
"Christopher ""Chris"" Stater",0,0,0
Sotirios Stathakis,0,0,0
Konstantinos Stathelakos,0,0,0
Dimitrios Stathis,0,0,0
Georgios Stathis,0,0,0
Nina Andreyevna Statkevich,0,0,0
Stefanija Statkuvien (Vilnit-),0,0,0
Valery Viktorovich Statsenko,0,0,0
Knut Brje Georg Stattin,0,0,0
Gudula Staub (-Krause),0,0,0
Hans Staub,0,0,0
Patrick Staub,0,0,0
Marcel Stuble,0,0,0
Vernon Ronald Stauble,0,0,0
Morten Kristian Staubo (Johansen-),0,0,0
Hellmut Wilhelm Ernst Stauch,0,0,0
Patrick Staudacher,0,0,0
Alma Staudinger,0,0,0
Christina Staudinger,0,0,0
"Konrad Ludwig ""Conny"" Staudinger",0,0,0
Josef Staudinger,0,0,0
Wolfgang Staudinger,0,0,1
"Norbert ""Boyty"" Staudt",0,0,0
"Joseph ""Josy"" Staudt",0,0,0
Jules Staudt,0,0,0
Werner Stauff,0,0,0
Richard Stauffacher,0,0,0
Brenda Lee Stauffer (-Hoffman),0,0,1
Thodore Stauffer,0,0,0
Kamma Lilian Laulund Staugaard (-Larsen),0,0,0
Juan Carlos Stauskas,0,0,0
"Brit Stav (Rolseth-, -Hoen)",0,0,0
Per Johan Stavem,0,0,0
John Stavenuiter,0,0,0
"Julia Ann ""Julie"" Staver",0,0,1
Julia Stavickaja,0,0,0
Maksim Evgeniev Stavisky,0,0,0
Antonn Stavjaa,0,0,0
Nadiya Hryhorivna Stavko,0,0,0
Boris Stavrev,0,0,0
Daniela Stavreva,0,0,0
Anastasios Stavrianos,0,0,0
Vasilios Stavridis,0,0,0
Eleni Stavridou,0,0,0
Vasilios Stavrinos,0,0,0
Zdobysaw Stawczyk,0,0,0
Edward Jan Stawiarz,0,0,0
Kornelia Halina Stawicka,0,0,0
Micha Stawowski,0,0,0
Alfons Andrzej Stawski,0,0,0
Ivan Staykov,0,0,0
Nencho Staykov,0,0,0
"Anthony Robert ""Tony"" Staynings",0,0,0
Eduard Yanovich Stayson,0,0,0
Ashley Steacy,0,0,1
Heather Steacy,0,0,0
"James ""Jim"" Steacy",0,0,0
Adrian George Curry Stead,0,0,0
"Richard Swift ""Dick"" Steane",0,0,0
Lisa Steanes (-Critoph),0,0,0
Antonello Carlo Steardo,0,0,0
"Timothy Smith ""Tim"" Stearn",0,0,0
"Richard Irving ""Dick"" Stearns, III",0,1,0
Peter Evelyn Stebbing,0,0,0
Roman Steblecki,0,0,0
Christian Stebler,0,0,0
Peter Hermann Stebler,0,1,0
Marek Stebnicki,0,0,0
Juraj tch,0,0,0
Gina Stechert,0,0,0
Karen Stechmann (-Neumann),0,0,0
"Robert John ""Bob"" Steckle",0,0,0
Lee Ethel Stecklein,0,1,0
Wadysaw Stecyk,0,1,0
Stephan Steding,0,0,0
Ivan Cuthbert Stedman,0,2,0
"Ronald Edwin ""Ron"" Stedman",0,0,0
Carl-Uwe Steeb,0,0,0
Trent Joseph Steed,0,0,0
Bryan Steel,0,1,1
John Meredith Steel,0,0,0
Andrew Steele,0,0,1
J. Arthur Steele,0,0,0
"Daniel ""Dan"" Steele",0,0,1
Darrin Steele,0,0,0
Henry Albert Steele,0,0,0
John Dwight Steele,0,0,0
Johnathan Andrew Steele,0,0,0
Lucy Steele (-Masson),0,0,0
Michelle Steele,0,0,0
Murray Allan Steele,0,0,0
Robert Steele,0,0,0
"Roderick Murdoch ""Rod"" Steele",0,0,0
Ron Eston Steele,0,0,0
Randall Scott Steele,0,1,0
Terence W. Steele,0,0,0
Tom Erik Maria Steels,0,0,0
"Anne Rochelle ""Shelly"" Steely (-Ramirez)",0,0,0
"Hermanus Hendricus ""Henk"" Steeman",0,0,1
Aage Torstein Wetteland Steen,0,0,0
Alexander Lennart Steen,0,1,0
Alfred Richard Steen,0,0,0
"David Lee ""Dave"" Steen",0,0,1
Ingrid Steen,0,2,0
Kjeld Hermann Pedersen Steen,0,0,0
Terje Steen,0,0,0
Fernand Steenacker,0,0,0
Henri Steenacker,0,0,0
Marrit Steenbergen,0,0,0
Quinta Steenbergen,0,0,0
Florentine Pauline Frederique Steenberghe,0,0,1
Jeanine Louise Steenkamp,0,0,0
Mitchel Steenman,0,0,0
Fernand Steens,0,0,0
"Ronaldus Franciscus Johannes ""Ron"" Steens",0,0,0
"Timotheus Bernardus ""Tim"" Steens",0,0,1
Antal Steer,0,0,0
Rachel Steer,0,0,0
Richard Clarke Steere,0,0,1
"Henri ""Harry"" Steevens",0,0,0
Jerome Elwell Steever,0,1,0
Claudia Nicoleta tef (Iovan-),0,0,0
Aurel tefan,0,0,0
Jan tefan,0,0,0
Leo Stefan,0,0,0
Miroslav tefan,0,0,0
Valentin tefan,0,0,0
Peter tefani,0,0,0
Romina Stefancic,0,0,0
Andrzej Stefanek,0,0,0
Gertrd Stefanek,0,0,2
Federica Stefanelli,0,0,0
Andreea Stefanescu,0,0,1
"Eugenio ""Eugen"" tefnescu",0,0,0
Mircea tefnescu,0,0,0
"Adolf ""Ady"" Stefanetti",0,0,0
Alfred Stefani,0,0,0
Fotis Stefani,0,0,0
Francesco Stefani,0,0,0
Luca Stefani,0,0,0
Monica Stefani,0,0,0
Jzef Stefaniak,0,0,0
Krzysztof Jzef Stefaniak,0,0,0
"Dimitrios ""Mimis"" Stefanidis",0,0,0
Matteo Stefanini,0,0,0
Sergio Oreste Stefanini,0,0,0
Zulejka Stefanini (-Tuan),0,0,0
Tomasz Tadeusz Stefaniszyn,0,0,0
Zenon Stefaniuk,0,0,0
Georgios Stefanopoulos,0,0,0
Konstantinos Stefanopoulos,0,0,0
Georgios Stefanou,0,0,0
Eleftherios Stefanoudakis,0,0,0
Boris Stefanov,0,0,0
Khristo Lyubenov Stefanov,0,0,0
Krasimir Stefanov Staykov,0,0,0
Mladen Stefanov,0,0,0
Petar Ivanov Stefanov,0,0,0
Petko Lyubenov Stefanov,0,0,0
Zhelyu Stefanov,0,0,0
Nikoleta Stefanova,0,0,0
Dimitrije Stefanovi,0,0,0
Milutin Stefanovi,0,0,0
Nikola Stefanovi,0,0,0
Sreten Stefanovi,0,0,0
ore Stefanovi,0,0,0
Imre Stefanovics,0,0,0
Jzef Stefaski,0,0,0
Stanisaw Stefaski,0,0,0
Bjarni Stefnsson,0,0,0
Ivar Stefnsson,0,0,0
Nils Axel Stefansson,0,0,0
lafur Indrii Stefnsson,0,1,0
Kelly Stefanyshyn,0,0,0
"Jane ""Janko"" tefe",0,0,0
Zuzana tefeekov,0,2,0
Jens Harald Stefenson,0,0,0
Mihaela Ioana teff,0,0,0
Jorge Leonardo Steffano Sosa,0,0,0
douard Steffe,0,0,0
Giovanni Steff,0,1,0
Benjamin Steffen,0,0,0
Franziska Steffen,0,0,0
Otto I. Steffen,0,1,0
Waldemar Joseph Carl Steffen,0,0,0
Hagbarth Steffens,0,0,0
John William Steffensen,0,1,0
Jrn Steffensen,0,0,0
Wilhelm Marius Bakke Steffensen,0,1,0
Otto Steffers,0,0,0
Josef Steffes-Mies,0,0,0
Christel Steffin (-Schulz),0,0,1
Manfred Steffny,0,0,0
Rbert tefko,0,0,0
Pavlna tefkov (-Kohtov),0,0,0
Karel tefl,0,0,0
Jens Stegemann,0,0,0
Kerstin Stegemann,0,0,3
"Marie-Luise ""Marlies"" Stegemann (-Burkat-)",0,0,0
Bastian Steger,0,0,2
Christian Steger,0,0,0
Christine Steger,0,0,0
Claudia Steger (-Richter),0,0,0
Josef Steger,0,0,0
Martin Steger,0,0,0
"Emilie Sibilla Elisabeth Johanna ""Milly"" Steger",0,0,0
